mechanism,attack,epsilon,delta,n_observations,trials,seed,auc,advantage,advantage_ci_lo,advantage_ci_hi,auc_ci_lo,auc_ci_hi,train_pool,test_pool,mean_release_ns,sensitivity_ns,bin_ns
m-bucket,likelihood-ratio,0.5,0.000001,4,2500,0,0.514229,0.028459,0.004536,0.059758,0.497732,0.529879,2000,2000,15805693.7,509626,94619
m-bucket,likelihood-ratio,0.5,0.000001,4,1000,1,0.491285,0.017431,0.034183,0.064949,0.467525,0.517092,2000,2000,15775982.5,509626,94619
m-bucket,likelihood-ratio,0.5,0.000001,4,1000,2,0.491102,0.017795,0.030608,0.068767,0.465616,0.515304,2000,2000,15798469.7,509626,94619
m-bucket,mean-threshold,0.5,0.000001,4,1000,0,0.501726,0.003453,0.044772,0.052048,0.477614,0.526024,2000,2000,15810318.5,509626,94619
m-bucket,mean-threshold,0.5,0.000001,4,1500,1,0.512969,0.025938,0.013980,0.064664,0.493010,0.532332,2000,2000,15780993.8,509626,94619
m-bucket,mean-threshold,0.5,0.000001,4,1000,2,0.507543,0.015086,0.033438,0.066206,0.483281,0.533103,2000,2000,15798469.7,509626,94619
m-bucket,likelihood-ratio,0.5,0.000001,16,1500,0,0.512020,0.024040,0.013972,0.066664,0.493014,0.533332,2000,2000,15801761.0,509626,94619
m-bucket,likelihood-ratio,0.5,0.000001,16,1500,1,0.513135,0.026270,0.016618,0.067888,0.491691,0.533944,2000,2000,15802068.9,509626,94619
m-bucket,likelihood-ratio,0.5,0.000001,16,1000,2,0.507553,0.015106,0.034642,0.064004,0.482679,0.532002,2000,2000,15795619.0,509626,94619
m-bucket,mean-threshold,0.5,0.000001,16,1000,0,0.490370,0.019261,0.029989,0.069348,0.465326,0.514995,2000,2000,15800778.9,509626,94619
m-bucket,mean-threshold,0.5,0.000001,16,3000,1,0.481877,0.036245,0.006306,0.064114,0.467943,0.496847,2000,2000,15798177.7,509626,94619
m-bucket,mean-threshold,0.5,0.000001,16,1000,2,0.488781,0.022438,0.029278,0.072576,0.463712,0.514639,2000,2000,15795619.0,509626,94619
m-bucket,likelihood-ratio,0.5,0.000001,64,1000,0,0.492006,0.015988,0.031848,0.065208,0.467396,0.515924,2000,2000,15792569.2,509626,94619
m-bucket,likelihood-ratio,0.5,0.000001,64,1500,1,0.497100,0.005799,0.037129,0.047003,0.476499,0.518564,2000,2000,15796909.0,509626,94619
m-bucket,likelihood-ratio,0.5,0.000001,64,1500,2,0.509387,0.018773,0.022059,0.061384,0.488971,0.530692,2000,2000,15797665.4,509626,94619
m-bucket,mean-threshold,0.5,0.000001,64,1000,0,0.497397,0.005205,0.045860,0.056622,0.471689,0.522930,2000,2000,15792569.2,509626,94619
m-bucket,mean-threshold,0.5,0.000001,64,3000,1,0.479832,0.040336,0.011158,0.070053,0.464973,0.494421,2000,2000,15796526.8,509626,94619
m-bucket,mean-threshold,0.5,0.000001,64,1000,2,0.495266,0.009467,0.040784,0.060567,0.469716,0.520392,2000,2000,15800102.1,509626,94619
m-bucket,likelihood-ratio,0.5,0.000001,256,1000,0,0.507944,0.015888,0.036270,0.065896,0.481865,0.532948,2000,2000,15793769.6,509626,94619
m-bucket,likelihood-ratio,0.5,0.000001,256,1000,1,0.513754,0.027508,0.022358,0.077910,0.488821,0.538955,2000,2000,15795716.5,509626,94619
m-bucket,likelihood-ratio,0.5,0.000001,256,2000,2,0.511986,0.023972,0.012581,0.059566,0.493710,0.529783,2000,2000,15795613.5,509626,94619
